model_size,checkpoint,topic,split,value,overall_accuracy,metric,total_pairs,file,ckpt_pos
pythia-6_9b,,determiner_noun_agreement_irregular,avg,97.75,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,determiner_noun_agreement_irregular,max,98.2,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,determiner_noun_agreement_with_adj,2,96.0,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,determiner_noun_agreement_with_adj,avg,96.0,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,determiner_noun_agreement_with_adj,max,96.0,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,determiner_noun_agreement_with_adj_irregular,1,94.4,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,determiner_noun_agreement_with_adj_irregular,2,94.9,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,determiner_noun_agreement_with_adj_irregular,avg,94.65,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,determiner_noun_agreement_with_adj_irregular,max,94.9,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,determiner_noun_agreement_with_adjective,1,98.3,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,determiner_noun_agreement_with_adjective,avg,98.3,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,determiner_noun_agreement_with_adjective,max,98.3,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,distractor_agreement_relational,noun,89.2,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
